study,attempt_id,concurrency,pair_index,arm,request_id,stratum,expected,status,finish_reason,output_text,output_token_ids,correct,prompt_tokens,generated_tokens,arrival_to_completion_s,arrival_to_first_token_s,dispatch_to_completion_s,queue_s
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r014,128,PUWLS,SUCCEEDED,eos,PUWLS,"[6325, 54, 7268, 151645]",True,186,4,157.740646619,138.315495942,47.788143766,109.948927431
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r013,64,KQOJT,SUCCEEDED,eos,KQOJT,"[42, 48, 46, 81181, 151645]",True,123,5,159.079703387,138.308221167,49.128856996,109.948927431
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r016,16,SNGEK,SUCCEEDED,eos,SNGEK,"[50, 6140, 71133, 151645]",True,74,4,168.35479176,142.980100301,30.024498918,138.328642792
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r019,256,TNXIM,SUCCEEDED,eos,TNXIM,"[29171, 55, 1791, 151645]",True,314,4,174.280930302,157.731059832,35.271185873,139.00828861
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r018,128,PGDUL,SUCCEEDED,eos,PGDUL,"[11383, 35, 1094, 151645]",True,186,4,192.784497809,168.357571212,34.785009788,157.998209883
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r017,64,BNYFB,SUCCEEDED,eos,BNYFB,"[15594, 56, 16208, 151645]",True,122,4,194.11071558,174.273253719,34.996238474,159.113194369
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r020,16,DUVSS,SUCCEEDED,eos,DUVSS,"[21547, 53, 1220, 151645]",True,74,4,203.504426348,178.127218888,35.133537558,168.369666987
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r023,256,BEAJN,SUCCEEDED,eos,BEAJN,"[11594, 30594, 45, 151645]",True,314,4,209.766106177,192.784450451,35.472587203,174.291897467
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r022,128,YOQEG,SUCCEEDED,eos,YOQEG,"[56644, 48, 9376, 151645]",True,187,4,227.823096708,203.518827813,34.660224166,193.161321937
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r024,16,RIDSY,SUCCEEDED,eos,RIDSY,"[62475, 18416, 151645]",True,73,3,229.15194952,213.651196857,25.638485266,203.511703258
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r021,64,XWJEZ,SUCCEEDED,eos,XWJEZ,"[55, 54, 40329, 57, 151645]",True,123,5,238.49897586,209.763272725,44.270136864,194.22747563
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r027,256,ABEOS,SUCCEEDED,eos,ABEOS,"[1867, 55940, 151645]",True,314,3,238.510603263,227.819225796,28.330160664,210.178475629
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r026,128,RGLDR,SUCCEEDED,eos,RGLDR,"[49, 3825, 7687, 151645]",True,186,4,263.407303805,238.510546848,35.182436906,228.215798557
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r028,16,LNVOV,SUCCEEDED,eos,LNVOV,"[50216, 11169, 53, 151645]",True,74,4,264.75547444,242.422415688,35.47370471,229.280510507
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r025,64,TSUAZ,SUCCEEDED,eos,TSUAZ,"[9951, 17782, 57, 151645]",True,122,4,273.97132116,262.708013487,35.462376993,238.507221742
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r031,256,SECMG,SUCCEEDED,eos,SECMG,"[925, 9985, 38, 151645]",True,314,4,273.984237813,262.730235292,35.46193963,238.520218213
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r030,128,HBGSL,SUCCEEDED,eos,HBGSL,"[30725, 38, 7984, 151645]",True,186,4,298.233515789,273.977932551,34.816634034,263.415297137
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r032,16,PFSRK,SUCCEEDED,eos,PFSRK,"[47, 8485, 77020, 151645]",True,74,4,299.635089815,277.759082142,34.273416891,265.360363778
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r029,64,MNFBL,SUCCEEDED,eos,MNFBL,"[44, 38067, 9389, 151645]",True,122,4,309.582439207,297.558333836,35.250789681,274.330204217
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r035,256,DJVCP,SUCCEEDED,eos,DJVCP,"[53272, 53, 7123, 151645]",True,314,4,309.583669245,297.560461215,35.250125054,274.330204217
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r034,128,WOXHN,SUCCEEDED,eos,WOXHN,"[22681, 55, 43165, 151645]",True,186,4,334.212977498,309.579568415,35.816161648,298.395403703
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r036,16,DXUEF,SUCCEEDED,eos,DXUEF,"[16591, 2230, 37, 151645]",True,74,4,335.54338363,313.472091824,35.89692344,299.644946373
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r033,64,LGIFC,SUCCEEDED,eos,LGIFC,"[47130, 2773, 34, 151645]",True,122,4,345.219424664,333.54177532,35.61945437,309.597964442
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r039,256,VTBBT,SUCCEEDED,eos,VTBBT,"[20457, 10098, 51, 151645]",True,314,4,345.205774898,333.543319052,35.603188967,309.597964442
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r038,128,JBKIS,SUCCEEDED,eos,JBKIS,"[46107, 42, 1637, 151645]",True,186,4,370.652456497,345.208593923,36.120800476,334.530305047
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r040,16,AUMKK,SUCCEEDED,eos,AUMKK,"[32, 2794, 50457, 151645]",True,74,4,371.977503037,349.122398708,36.420167248,335.556087947
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r037,64,REDGM,SUCCEEDED,eos,REDGM,"[6504, 20637, 151645]",True,121,3,371.999732948,369.944402343,26.49989231,345.498362177
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r043,256,TWUQL,SUCCEEDED,eos,TWUQL,"[47069, 52, 3588, 151645]",True,314,4,380.770134817,369.944211057,35.268470747,345.498362177
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r042,128,NEYRC,SUCCEEDED,eos,NEYRC,"[74131, 7380, 151645]",True,186,3,404.689678414,380.75668865,34.023366849,370.664066228
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r044,16,FIBTZ,SUCCEEDED,eos,FIBTZ,"[37, 3256, 90426, 151645]",True,74,4,420.61032534,390.102874295,48.623005468,371.985502942
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r041,64,AJKBD,SUCCEEDED,eos,AJKBD,"[30594, 42, 9548, 151645]",True,122,4,420.610423613,390.106154057,47.932942829,372.675064148
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r047,256,WBCTI,SUCCEEDED,eos,WBCTI,"[52868, 1162, 40, 151645]",True,314,4,420.617198097,404.686270553,39.835938711,380.779409093
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r046,128,HESFU,SUCCEEDED,eos,HESFU,"[39, 1570, 81213, 151645]",True,186,4,420.664215476,420.603910945,15.963515626,404.699126272
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r045,64,RYOMF,SUCCEEDED,eos,RYOMF,"[11242, 1898, 37, 151645]",True,123,4,453.152817769,426.044082922,32.464347094,420.686935769
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r048,16,UDBLU,SUCCEEDED,eos,UDBLU,"[52, 3506, 23236, 151645]",True,74,4,454.548905577,451.765411443,33.858329695,420.686935769
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r050,128,FRACF,SUCCEEDED,eos,FRACF,"[10504, 1706, 37, 151645]",True,186,4,454.558148674,451.756217498,33.862897173,420.686935769
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r051,256,PAXXL,SUCCEEDED,eos,PAXXL,"[47, 2954, 36530, 151645]",True,314,4,454.558240836,451.766985582,33.859720784,420.686935769
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r049,64,GMIZW,SUCCEEDED,eos,GMIZW,"[20637, 2843, 54, 151645]",True,122,4,486.962109996,459.916179261,33.798996701,453.160544455
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r055,256,ONYIS,SUCCEEDED,eos,ONYIS,"[52275, 1637, 151645]",True,314,3,486.966715415,485.588974342,32.166691755,454.79519763
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r052,16,PPRSV,SUCCEEDED,eos,PPRSV,"[4406, 11451, 53, 151645]",True,74,4,488.285303579,485.586415311,33.488684203,454.79519763
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r054,128,UNJGS,SUCCEEDED,eos,UNJGS,"[1861, 41, 16522, 151645]",True,186,4,488.306561702,485.58976874,33.508212708,454.79519763
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r053,64,HWHDK,SUCCEEDED,eos,HWHDK,"[39, 19890, 18301, 151645]",True,122,4,521.770904276,507.811517301,34.477714252,487.287429105
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r059,256,FHSUA,SUCCEEDED,eos,FHSUA,"[37, 11961, 17782, 151645]",True,314,4,521.769528907,507.817902622,34.473557008,487.287429105
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r056,16,HHYUX,SUCCEEDED,eos,HHYUX,"[23180, 56, 13401, 151645]",True,74,4,523.084678765,520.415277158,34.791670871,488.291622616
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r058,128,CFQIH,SUCCEEDED,eos,CFQIH,"[9650, 48, 75023, 151645]",True,186,4,523.084750779,520.4151011,34.19059623,488.892020609
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r057,64,PTWOT,SUCCEEDED,eos,PTWOT,"[2828, 54, 1793, 151645]",True,122,4,556.753456405,542.504451085,34.349557398,522.402267812
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r063,256,HRBDO,SUCCEEDED,eos,HRBDO,"[17088, 33, 5865, 151645]",True,314,4,556.755268277,542.50635618,34.349258032,522.402267812
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r060,16,AOEQK,SUCCEEDED,eos,AOEQK,"[18746, 54007, 42, 151645]",True,75,4,558.13027937,555.355577916,35.029571302,523.099272978
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r062,128,UHESG,SUCCEEDED,eos,UHESG,"[52, 39, 1570, 38, 151645]",True,187,5,577.764557422,555.357093786,54.662295553,523.099272978
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r061,64,CEEWT,SUCCEEDED,eos,CEEWT,"[42577, 18454, 151645]",True,122,3,591.750270289,577.766251164,34.520821427,557.227873792
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r067,256,CRXLA,SUCCEEDED,eos,CRXLA,"[8973, 55, 17845, 151645]",True,314,4,593.117980168,577.760918061,35.886339748,557.227873792
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r064,16,TQODF,SUCCEEDED,eos,TQODF,"[51, 48, 2069, 37, 151645]",True,75,5,614.15062579,582.43529347,55.803962673,558.344604266
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r066,128,TPMWS,SUCCEEDED,eos,TPMWS,"[4239, 44, 7433, 151645]",True,185,4,614.160138419,591.747690088,35.982953104,578.175574538
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r065,64,EODNE,SUCCEEDED,eos,EODNE,"[36, 2069, 3944, 151645]",True,122,4,628.29650642,599.763989738,36.059158139,592.235238385
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r071,256,OMIHS,SUCCEEDED,eos,OMIHS,"[1898, 40, 11961, 151645]",True,314,4,629.660882215,614.159691318,36.373252092,593.285798736
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r068,16,QPRCO,SUCCEEDED,eos,QPRCO,"[48, 6480, 8281, 151645]",True,74,4,659.309706294,628.293602437,45.149997223,614.157776926
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r070,128,AOAFH,SUCCEEDED,eos,AOAFH,"[18746, 8276, 39, 151645]",True,186,4,659.319069064,628.294102677,45.148243921,614.169027518
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r069,64,COMFO,SUCCEEDED,eos,COMFO,"[8696, 3788, 151645]",True,121,3,660.617509132,636.381678081,32.310400847,628.305051659
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r075,256,OBRWK,SUCCEEDED,eos,OBRWK,"[46, 13095, 68316, 151645]",True,314,4,678.867039235,659.31934598,49.196210413,629.668630471
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r072,16,YWEFG,SUCCEEDED,eos,YWEFG,"[56, 12457, 12001, 151645]",True,74,4,693.895110572,672.372296658,34.567508471,659.325228184
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r074,128,CGQQX,SUCCEEDED,eos,CGQQX,"[8798, 48026, 55, 151645]",True,186,4,693.9054341,672.367931315,34.57581683,659.325228184
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r073,64,LYCHH,SUCCEEDED,eos,LYCHH,"[8932, 2149, 39, 151645]",True,122,4,695.193963738,678.862581491,34.563625126,660.628635904
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r079,256,ULNBX,SUCCEEDED,eos,ULNBX,"[1094, 33342, 55, 151645]",True,314,4,713.522203867,693.891122382,34.164567883,679.356143037
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r076,16,SRUAJ,SUCCEEDED,eos,SRUAJ,"[14557, 17782, 41, 151645]",True,74,4,728.01529179,707.074730958,33.442407022,694.57106906
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r078,128,MWGBS,SUCCEEDED,eos,MWGBS,"[54173, 5381, 50, 151645]",True,186,4,728.02643332,707.074751596,33.451850563,694.57106906
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r077,64,JIZLD,SUCCEEDED,eos,JIZLD,"[41, 2843, 12335, 151645]",True,122,4,729.309783522,713.519599702,33.698130384,695.610196388
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r083,256,PGMRC,SUCCEEDED,eos,PGMRC,"[11383, 44, 7380, 151645]",True,314,4,747.541299656,728.014188658,34.007635877,713.528147526
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r080,16,TKWQM,SUCCEEDED,eos,TKWQM,"[15778, 54, 88878, 151645]",True,74,4,762.024060445,741.0361528,33.410834937,728.611714055
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r082,128,CLAJM,SUCCEEDED,eos,CLAJM,"[3140, 30594, 44, 151645]",True,186,4,762.045388327,741.067053363,33.430567051,728.611714055
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r081,64,CKCOV,SUCCEEDED,eos,CKCOV,"[3021, 8281, 53, 151645]",True,122,4,763.33412994,747.537881196,33.731235595,729.601416215
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r087,256,YYDBN,SUCCEEDED,eos,YYDBN,"[10060, 3506, 45, 151645]",True,314,4,781.484643687,762.032667679,33.93444324,747.548381513
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r084,16,LFOPY,SUCCEEDED,eos,LFOPY,"[22609, 9930, 151645]",True,73,3,782.137975045,774.972672484,20.10327786,762.031465583
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r086,128,UYSXX,SUCCEEDED,eos,UYSXX,"[52, 9394, 6148, 151645]",True,186,4,796.195882685,774.978992623,33.469659357,762.724551838
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r085,64,CASUC,SUCCEEDED,eos,CASUC,"[87516, 5459, 151645]",True,121,3,796.181326722,781.493402904,32.470472761,763.709628521
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r091,256,VXGUY,SUCCEEDED,eos,VXGUY,"[53, 55, 38, 31301, 151645]",True,314,5,816.03576018,796.157001534,34.42475599,781.609089317
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r088,16,FXJZS,SUCCEEDED,eos,FXJZS,"[16381, 41, 57, 50, 151645]",True,75,5,816.708398991,800.160347145,33.968506957,782.738567279
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r089,64,KWSQM,SUCCEEDED,eos,KWSQM,"[42, 7433, 88878, 151645]",True,122,4,816.728729768,814.644729761,19.850952221,796.858738995
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r090,128,YETUQ,SUCCEEDED,eos,YETUQ,"[56, 1348, 52, 48, 151645]",True,187,5,832.090504513,814.638403611,35.204115033,796.858738995
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r095,256,RTDYO,SUCCEEDED,eos,RTDYO,"[5350, 35, 56644, 151645]",True,314,4,851.196539442,832.099603552,35.145013268,816.045285613
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r093,64,LJYTZ,SUCCEEDED,eos,LJYTZ,"[43, 41, 78345, 57, 151645]",True,122,5,866.345345083,841.286087802,49.470294095,816.87190216
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r094,128,UXQWK,SUCCEEDED,eos,UXQWK,"[13401, 48, 68316, 151645]",True,186,4,866.334595783,850.537689015,34.226330866,832.102338721
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r092,16,LZJYU,SUCCEEDED,eos,LZJYU,"[43, 57, 41, 56, 52, 151645]",True,75,6,867.652232057,841.285844359,50.779067478,816.87190216
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r099,256,HWBUR,SUCCEEDED,eos,HWBUR,"[38252, 85094, 151645]",True,313,3,868.322300856,866.330461041,17.111965716,851.20779826
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r097,64,HLFDB,SUCCEEDED,eos,HLFDB,"[13485, 37, 3506, 151645]",True,122,4,901.04036591,873.691023667,32.738836901,868.297975948
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r096,16,KDIEJ,SUCCEEDED,eos,KDIEJ,"[89609, 5371, 41, 151645]",True,74,4,902.376436301,899.682146158,34.057337332,868.317837602
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r103,256,GWCSJ,SUCCEEDED,eos,GWCSJ,"[62565, 6412, 41, 151645]",True,314,4,902.384912632,899.694813416,34.055110339,868.32846783
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r098,128,SXFLF,SUCCEEDED,eos,SXFLF,"[90488, 6126, 37, 151645]",True,186,4,902.392798735,899.685599172,34.088508709,868.297975948
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r101,64,XLQSN,SUCCEEDED,eos,XLQSN,"[36530, 48, 18966, 151645]",True,122,4,934.206978047,907.577024355,33.143761071,901.056394392
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r107,256,XIDOI,SUCCEEDED,eos,XIDOI,"[55, 70974, 40, 151645]",True,314,4,935.520546462,932.875270112,33.100437124,902.414140713
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r102,128,FSBAS,SUCCEEDED,eos,FSBAS,"[8485, 33, 1911, 151645]",True,186,4,935.519859875,932.878694524,33.083504039,902.433323684
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r100,16,ZLQEO,SUCCEEDED,eos,ZLQEO,"[57, 43, 48, 6760, 151645]",True,75,5,941.620589113,932.876164767,39.203999353,902.414140713
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r105,64,UCHCB,SUCCEEDED,eos,UCHCB,"[29493, 12979, 151645]",True,122,3,967.25496415,941.617343465,33.029775271,934.221582229
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r106,128,CDESG,SUCCEEDED,eos,CDESG,"[34, 1150, 7783, 151645]",True,186,4,975.376246548,963.377314655,39.832549703,935.541932562
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r111,256,XSKDN,SUCCEEDED,eos,XSKDN,"[55, 15699, 31264, 151645]",True,314,4,975.3769732,963.377600246,39.829562946,935.541932562
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r104,16,BLRAU,SUCCEEDED,eos,BLRAU,"[9389, 5609, 52, 151645]",True,74,4,975.99581073,967.252602867,33.723776828,942.268261673
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r109,64,IQACS,SUCCEEDED,eos,IQACS,"[61950, 62687, 151645]",True,121,3,997.98209815,975.367931498,30.711739047,967.267313938
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r110,128,VVHOF,SUCCEEDED,eos,VVHOF,"[67707, 39, 12483, 151645]",True,187,4,1009.121987222,997.97839546,33.725947036,975.394018053
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r115,256,RDGTF,SUCCEEDED,eos,RDGTF,"[36690, 38, 10808, 151645]",True,314,4,1009.121226487,997.978000486,33.723049987,975.394018053
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r108,16,IOFOC,SUCCEEDED,eos,IOFOC,"[3810, 3788, 34, 151645]",True,74,4,1009.747259785,1001.865520125,33.480132983,976.264135457
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r113,64,RIRFW,SUCCEEDED,eos,RIRFW,"[49, 2801, 18222, 151645]",True,122,4,1032.15150855,1008.434197201,33.865857249,998.283359006
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r114,128,ILWLW,SUCCEEDED,eos,ILWLW,"[1715, 61139, 54, 151645]",True,186,4,1043.789746197,1032.135329478,34.398050053,1009.386532447
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r119,256,HYOVZ,SUCCEEDED,eos,HYOVZ,"[48852, 38957, 57, 151645]",True,314,4,1043.790218826,1032.1428552,34.388638552,1009.386532447
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r112,16,WSHEC,SUCCEEDED,eos,WSHEC,"[7433, 1799, 34, 151645]",True,74,4,1044.466693113,1036.159272713,34.084004519,1010.381149971
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r117,64,LAPQQ,SUCCEEDED,eos,LAPQQ,"[43, 2537, 48026, 151645]",True,121,4,1068.150509832,1043.116545831,35.804734295,1032.338499079
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r118,128,MSBEU,SUCCEEDED,eos,MSBEU,"[4826, 11594, 52, 151645]",True,186,4,1079.424407264,1068.141571822,35.607169718,1043.815133111
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r123,256,EHCFN,SUCCEEDED,eos,EHCFN,"[45589, 9650, 45, 151645]",True,314,4,1079.430472539,1068.14956322,35.611203814,1043.815133111
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r116,16,LVSYA,SUCCEEDED,eos,LVSYA,"[40258, 18416, 32, 151645]",True,74,4,1080.09758829,1072.026630752,35.552613929,1044.542832716
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r121,64,JDYND,SUCCEEDED,eos,JDYND,"[49915, 56, 8065, 151645]",True,122,4,1101.906941331,1078.758092794,33.380743576,1068.523282411
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r127,256,WRSGP,SUCCEEDED,eos,WRSGP,"[17925, 7783, 47, 151645]",True,314,4,1113.034350002,1101.914652909,33.443543552,1079.585662118
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r122,128,DWKJN,SUCCEEDED,eos,DWKJN,"[54219, 42, 41, 45, 151645]",True,187,5,1113.69930924,1101.912978373,34.111141399,1079.585662118
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r120,16,TTRFJ,SUCCEEDED,eos,TTRFJ,"[51, 2378, 37, 41, 151645]",True,75,5,1114.37909745,1105.897569184,33.793134128,1080.583059649
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r125,64,HLKFK,SUCCEEDED,eos,HLKFK,"[13485, 42, 26998, 151645]",True,122,4,1114.379234725,1112.340562896,12.458914411,1101.918102347
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r126,128,SYWUT,SUCCEEDED,eos,SYWUT,"[18416, 54, 1381, 151645]",True,186,4,1130.052198259,1123.204527617,16.342043419,1113.707943525
14b,attempt-7c9be96cd8f44a358d194e6953ac5695,4,2,baseline,r124,16,TSVQS,SUCCEEDED,eos,TSVQS,"[9951, 53, 70810, 151645]",True,74,4,1130.56653184,1127.134236433,15.934337542,1114.62965886
14b,attempt-5c026fdd420f41658ecb853f15b5cbe5,1,0,candidate,r000,16,HGLEG,SUCCEEDED,eos,HGLEG,"[90111, 35213, 151645]",True,73,3,4.932632847,3.429986424,4.583625848,0.347378672
14b,attempt-5c026fdd420f41658ecb853f15b5cbe5,1,0,candidate,r001,64,UOLIA,SUCCEEDED,eos,UOLIA,"[52, 1930, 5863, 151645]",True,122,4,9.996696162,8.001852568,5.057174307,4.93863707
14b,attempt-5c026fdd420f41658ecb853f15b5cbe5,1,0,candidate,r002,128,FPDQG,SUCCEEDED,eos,FPDQG,"[11698, 35, 48, 38, 151645]",True,187,5,16.122368065,13.398861329,6.114949839,10.002618763
14b,attempt-5c026fdd420f41658ecb853f15b5cbe5,1,0,candidate,r003,256,NNTGH,SUCCEEDED,eos,NNTGH,"[45, 6408, 44676, 151645]",True,314,4,24.451415308,22.488495928,7.992236399,16.456071151
14b,attempt-5c026fdd420f41658ecb853f15b5cbe5,1,0,candidate,r004,16,YNWNI,SUCCEEDED,eos,YNWNI,"[24273, 54, 14912, 151645]",True,74,4,27.421113557,25.359986858,2.818466757,24.599492986
14b,attempt-5c026fdd420f41658ecb853f15b5cbe5,1,0,candidate,r005,64,MCBXN,SUCCEEDED,eos,MCBXN,"[11604, 53878, 45, 151645]",True,123,4,32.264967685,30.292470187,4.666055042,27.595784888
14b,attempt-5c026fdd420f41658ecb853f15b5cbe5,1,0,candidate,r006,128,XCIPF,SUCCEEDED,eos,XCIPF,"[37946, 3298, 37, 151645]",True,186,4,37.848133132,35.874902341,5.301878554,32.543091737
14b,attempt-5c026fdd420f41658ecb853f15b5cbe5,1,0,candidate,r007,256,QIBCD,SUCCEEDED,eos,QIBCD,"[48, 3256, 6484, 151645]",True,314,4,46.400167563,44.004473842,8.533912048,37.86240708
